NUMERO_PEDIDO;DATA_DIVULGACAO;DATA_CANCELAMENTO;FILIAL;MOTIVO;SUBMOTIVO;COD_PDV;PRODUTO;CANAL;CPF;NOME_CLIENTE;LOGIN_VENDEDOR;DESC_CAMPANHA;DESC_OFERTA;GRUPO_UNIDADE;CANAL_REGIONAL;DESC_CANAL_BOV_GRUPO;NOME_PONTO_VENDA;RESULTADO_FINAL;MUNICIPIO_INSTALACAO;DDD_FIXO;DETALHE_MOTIVO;FLG_VL_VL_MESMO_END_CLIE_DIF;FLG_VL_VL_CLIE_END_IGUAL;FLG_VL_PLT_CLIE_END_IGUAL;FLG_VL_PLT_MESMO_END_CLIE_DIF
"4-172596863067";20240411;20240410;MA;VENDA ERRADA;Divergencia De Endereco;1046868;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR773102;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;SAO JOSE DE RIBAMAR;98;Divergencia De Endereco;;;;
"4-171606991325";20240402;20240328;MT;VENDA INDEVIDA;Pedido Duplicado;1054933;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR741824;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;RONDONOPOLIS;66;;;;;S
"4-172072129716";20240422;20240419;RJ;VENDA INDEVIDA;Pedido Duplicado;1049505;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR794742;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;RIO DE JANEIRO;21;;;;;
"4-173127295024";20240415;20240411;RS;VENDA INDEVIDA;Pedido Duplicado;1048328;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR798367;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;TELEAGENTES;TLAG VAREJO;;PORTO ALEGRE;51;;;;;
"4-173859122281";20240422;20240420;RS;VENDA INDEVIDA;Pedido Duplicado;1048328;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR798367;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;TELEAGENTES;TLAG VAREJO;;CAXIAS DO SUL;54;;S;S;;S
"4-172738305536";20240415;20240412;MG;VENDA ERRADA;Divergencia De Endereco;1046395;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR770490;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;LOCAL;OUTROS;INTEGRARE MG;;BELO HORIZONTE;31;Divergencia De Endereco;;;;
"4-173122987726";20240415;20240412;DF;VENDA INDEVIDA;Pedido Duplicado;1046690;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR788621;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;CEILANDIA;61;;;;;
"4-172390240567";20240408;20240405;RR;VENDA ERRADA;Divergencia De Endereco;1054886;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR732938;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;OI AGENTES;OI AGENTE VAREJO;;BOA VISTA;95;Divergencia De Endereco;;;;
"4-173024323175";20240419;20240417;GO;VENDA INDEVIDA;Pedido Duplicado;1051976;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR768988;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;APARECIDA DE GOIANIA;62;;;;;
"4-170606169277";20240415;20240413;GO;VENDA INDEVIDA;Pedido Duplicado;1051976;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR781712;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;GOIANIA;62;;;;;
